Date,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Active,Fatality_Rate,Recovery_Rate
2020-01-30,Kerala,1,0,0,0,1,1,0.0,0.0
2020-01-31,Kerala,1,0,0,0,1,1,0.0,0.0
2020-02-01,Kerala,2,0,0,0,2,2,0.0,0.0
2020-02-02,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-03,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-04,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-05,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-06,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-07,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-08,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-09,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-10,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-11,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-12,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-13,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-14,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-15,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-16,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-17,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-18,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-19,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-20,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-21,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-22,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-23,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-24,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-25,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-26,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-27,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-28,Kerala,3,0,0,0,3,3,0.0,0.0
2020-02-29,Kerala,3,0,0,0,3,3,0.0,0.0
2020-03-01,Kerala,3,0,0,0,3,3,0.0,0.0
2020-03-02,Telengana,1,0,0,0,1,1,0.0,0.0
2020-03-02,Kerala,3,0,0,0,3,3,0.0,0.0
2020-03-02,Delhi,1,0,0,0,1,1,0.0,0.0
2020-03-03,Telengana,1,0,0,0,1,1,0.0,0.0
2020-03-03,Rajasthan,0,1,0,0,1,1,0.0,0.0
2020-03-03,Kerala,3,0,3,0,3,0,0.0,100.0
2020-03-03,Delhi,1,0,0,0,1,1,0.0,0.0
2020-03-04,Uttar Pradesh,6,0,0,0,6,6,0.0,0.0
2020-03-04,Kerala,3,0,3,0,3,0,0.0,100.0
2020-03-04,Haryana,0,2,0,0,2,2,0.0,0.0
2020-03-04,Delhi,1,0,0,0,1,1,0.0,0.0
2020-03-04,Telengana,1,0,0,0,1,1,0.0,0.0
2020-03-04,Rajasthan,1,14,0,0,15,15,0.0,0.0
